13,1,President’s power to pardon is the only one power that cannot be limited by other branches.,True (Correct),False
13,2,President cannot make judicial or executive appointments without Senate confirmation,True (Incorrect),False (Correct)
13,3,Inherent powers refer to the presidential powers that are explicitly stated in the constitution.,True (Incorrect),False (Correct)
13,4,Which of the following powers that the president of United States exercise cannot be limited by the other branches of the constitution?,Power to veto legislation (Incorrect),Power to pardon offences (Correct),Power to exercise pocket veto,Power to make treaties,Power to be the commander in chief of armed forces
13,5,Who is the United States of America’s Chief diplomat?,President pro tempore of the Senate (Incorrect),Speaker of the House,Secretary of State,Attorney General,President of the United States (Correct)
13,6,Which of the following is a valid observation of impeachment?,Only the Senate can initiate a motion of impeachment. (Incorrect),President can be removed if a simple majority in the House votes to impeach the president.,A two-thirds vote by the Senate is necessary for conviction of the president. (Correct),The president himself can initiate a motion of impeachment against him.,Impeachment can be initiated only if it obtains a two-thirds vote in the House.
13,7,Inherent powers _____.,are powers originated by passing executive orders (Incorrect),powers available to the state governments,imply prerogatives claimed by presidents (Correct),are powers that are explicitly stated,are powers that are formally approved by the House of Representatives
13,8,Which of the following is a valid observation about the executive offices of the president?,It encompasses presidential staff agencies. (Correct),Executive office positions do not require confirmations from Senate.,It contains the president’s personal staff of assistants and advisors.,Executive offices are exempt from Congress’s purview.,Presidents have a free hand with the structure of the executive offices
13,9,Which of the following agencies is included in the executive office of the president?,Counselor to the President (Incorrect),National Security Council (Correct),Advisor to the president,Office of the Chief of Staff,Office of the First Lady
13,10,The White House office contains _____.,agencies formed by law (Incorrect),agencies controlled by the Senate,offices of management and budget,president’s personal staff (Correct),offices controlled by the House
13,11,Which of the following agencies is encompassed by the White House office?,Office of Administration (Incorrect),National Security Council,Office of the Vice President,Office of Management and Budget,Office of the first lady (Correct)
13,12,The president can introduce bills in the Congress.,True (Incorrect),False (Correct)
13,13,The president has the power to veto certain parts of a bill and retain the rest.,True (Incorrect),False (Correct)
13,14,The president claims the right to ignore or refuse to enforce laws in a signing statement.,True (Correct),False
13,15,Which of the following is a characteristic of a divided government?,President is not favored by a subsection of his party. (Correct),President’s party has a two-thirds majority in the House of Representatives.,President’s party does not have majority in the congress.,President’s party has a two-thirds majority in the Senate.,President uses veto power to overrule a bill initiated by the House.
13,16,What is the major function of legislative liaison officers?,Connecting the two chambers of the Congress (Incorrect),Preventing lobbying political parties and other groups,Interacting and lobbying with the members of the congress (Correct),Interacting with the media to represent the House of Representatives,Presenting the views of judiciary in the Congress
13,17,Which of the following statements describes a veto?,President returning a bill with objections (Correct),Rejection of a bill by the House of Representatives,Rejection of a bill by the Senate,Failure to obtain two-thirds majority in the House,Rejection of a bill by the department of finance
13,18,What is the minimum requirement to override a veto by the president?,Simple majority in the House of Representatives (Incorrect),Simple majority in the Senate,Two-thirds majorities in each chamber. (Correct),Support from the majority of the state legislatures,Line-item vetoes from the governors of all states
13,19,Which of the following is a major facet of a Line-item veto?,It involves complete rejection of a bill (Incorrect),It cannot be overridden by the Congress,It is an exclusive power available to the President,It allows partial rejection of bills (Correct),It is not applicable to state legislatures
13,20,Executive orders are _____.,parts of the bill of rights (Incorrect),line-item vetoes issued by the governors,vetoes issued by the president of the United States,presidential directives to administrators,directives to members of the judicial branch (Correct)
